"EID","DOI","Year","DocumentType","CitedBy","SourceTitle","Queries","Score","Themes","Title","Abstract","AbstractFound"
"2-s2.0-105014499721","10.3390/drones9080565","2025","Article","1","Drones","S4","16","Maneuver, Uncertainty, Unity/VR/HITL","Immersion and Invariance Adaptive Control for Unmanned Helicopter Under Maneuvering Flight","Highlights: What are the main findings? A low-dimensional immersive system design approach is employed with the I&I (immersion and invariance) theory. To meet the requirements of I&I theory for asymptotic stability points in the system, in the constructed equivalent system, the first two state variables of the error system are artificially set with positive definite conditions to ensure stability. What is the implication of the main finding? The non-cascade controller is constructed, which solely utilizes the velocity value as feedback. The control performance of the control law is influenced by the equivalent system as well as three parameters in its construction. However, the impact of these three parameters on the control effectiveness is positively correlated and mutually independent, resulting in very low difficulty in parameter tuning. An asymptotic stability velocity tracking controller is designed to enable the autonomous maneuvering flight of unmanned helicopters. Firstly, taking the UH-60A without pilots as the research object, a high-efficient rotor aerodynamic modeling is developed, which incorporates a free-wake vortex method with the flap response of blades. The consummate flight dynamic model is complemented by wind tunnel-validated fuselage/tail rotor load regressions. Secondly, a linear state?space equation is derived via the small perturbation linearization method based on the flight dynamic model within the body coordinate system. A decoupled model is formulated based on the linear state?space equation by employing the implicit model approach. Subsequently, a system of ordinary differential equations is constructed, which is related to the deviation between actual velocity and its expected value, along with higher-order derivatives of this discrepancy. The I&I (immersion and invariance) theory is then employed to facilitate the design of a non-cascade control loop. Finally, the response of desired velocity in longitudinal channel is simulated with step signal to compare the control effect with a PID (proportional?integral?derivative) controller. By adjusting the coefficients, the response progress of the PID controller is similar to the effect of adaptive controller with I&I theory. However, there is no obvious overshoot in the process with I&I adaptive controller, and the average response amplitude accounts for 16.69% of the random white noise, which is 7.38% of the oscillation level under the PID controller. The parameter tuning complexity when employing I&I theory is significantly lower than that of the PID controller, which is evaluated by mathematical derivations and simulations. Meanwhile, the sidestep and pirouette maneuvers are simulated and analyzed to examine the controller in accordance with the performance criteria outlined in the ADS-33E-REF standards. The simulation results demonstrate that the speed expectation-oriented asymptotic stability control can achieve a fast response. Both sidestep and pirouette maneuvers can satisfy the desired performance requirements stipulated by ADS-33E-REF. ? 2025 by the authors.","Yes"
"2-s2.0-105032751067","10.3934/electreng.2026002","2026","Review","0","AIMS Electronics and Electrical Engineering","S1,S4,S7","16","Temporal/Generalization, Uncertainty","A comprehensive survey of UAV control algorithms: Integrating classical methods with artificial intelligence for enhanced trajectory tracking","The development of reliable control systems for unmanned aerial vehicles (UAVs) requires accurate modeling of dynamics and a control architecture capable of handling nonlinearity, external disturbances, and parameter uncertainty. This study addressed that challenge through a comprehensive survey of UAV control strategies, including classical linear controllers (such as PID, LQR, and MPC), advanced nonlinear methods [such as backstepping, sliding mode control (SMC), H-infinity, and active disturbance rejection control (ADRC)], and intelligent control algorithms like fuzzy logic and artificial neural networks (ANN). Based on this, the paper proposed a hybrid ANN-PID controller, where the neural network dynamically adjusts the PID coefficients to enhance adaptability and robustness. The method was evaluated through simulations on the UAV model using Euler-Lagrange dynamics. The quantitative results showed that ANN-PID achieves the lowest steady-state error (0.0229m), nearly equivalent to PID (0.0230m) but significantly superior to LQR (0.0807m, an improvement of about 72). Regarding rise time, ANN-PID responds quickly (?2.01 s), similar to PID and much faster than LQR (?7.4 s). Although the overshoot of all controllers is high, ANN-PID still achieves a lower value than PID and significantly reduces it compared to LQR under noisy conditions. These results affirm the superiority of the ANN-PID hybrid structure in UAV control, especially in nonlinear and complex dynamic environments. ?2026 the Author(s), licensee AIMS Press. This is an open access article distributed under the terms of the Creative Commons Attribution License (http://creativecommons.org/licenses/by/4.0)","Yes"
"2-s2.0-105016528807","10.1142/S2301385027500075","2025","Article","0","Unmanned Systems","S1","16","Temporal/Generalization, Maneuver, Unity/VR/HITL","Neural Network-Driven Adaptive Active Disturbance Rejection Control for Autonomous Unmanned Helicopter Trajectory Tracking","This paper proposes a helicopter trajectory tracking active disturbance rejection controller (ADRC) using a neural network to optimize the adaptive parameters, with the objective of improving the accuracy of the helicopter's automatic maneuvering mission in uncertain environments. The paper's methodology is as follows: First, a nonlinear dynamic model is established to consider the agile change of maneuvering state. Second, the ADRC nonlinear function is reconstructed and optimized to improve the disturbance rejection capability against unknown disturbances. The ant colony algorithm is employed to optimize the radial basis function (RBF) partial learning rate, thereby enhancing the accuracy of the adaptation to the controlled object. The gradient descent algorithm is utilized to determine the direction and value of the dynamic compensation parameters, thus enhancing the robustness and immunity of the ADRC adaptive dynamic response controller. The second-order controlled object is simulated and verified. Subsequently, the helicopter trajectory tracking cascade loop system is constructed based on the ADRC-RBF controller. Finally, the tracking control simulation of the ""8""shape climbing and slalom trajectory of the typical maneuver of the helicopter is carried out. The simulation results demonstrate that the helicopter trajectory tracking ADRC controller designed with RBF dynamic parameters exhibits excellent robustness and immunity, thereby enhancing the accuracy of the helicopter maneuvering task.  ? 2025 World Scientific Publishing Company.","Yes"
"2-s2.0-85136135417","10.1109/ICUAS54217.2022.9836118","2022","Conference paper","0","2022 International Conference on Unmanned Aircraft Systems, ICUAS 2022","S3","16","Temporal/Generalization, Maneuver, Unity/VR/HITL","Deep Learning Model-Agnostic Controller for VTOL Class UAS","Vertical take-off and landing (VTOL) aircraft leverage the performance and efficiency of fixed-wing aircraft with the operational flexibility of rotary-wing aircraft. However, their complex dynamics and the inherent multi-mode of operation often make sufficiently robust controller design difficult, time consuming, and expensive. Transitioning between flight modes (e.g. vertical takeoff to cruise or cruise to landing) risks instability, oscillations, and high-G maneuvers. These challenges have been traditionally solved by relying on multi-modal PID design patterns and gain scheduling, necessitating the development of a different controller for each flight mode. Modern VTOL flight controller methods (e.g. Model Predictive Control) are often heavily model dependent and lack robustness to large uncertainties in the aircraft dynamic model. Such dependency eliminates any opportunity for flight controller to be transferable between different aircraft platforms without labor intensive practices. This paper presents simulation results of a deep learning based model-agnostic quad mode VTOL controller that is trained and optimized with the Proximal Policy Optimization (PPO) algorithm in simulation. Our controller is fully policy based rather than dynamic model dependent (e.g. LQR, H2, MPC, etc.) and thus is fully transferable between models without any retraining. Flight controller performance and robustness against perturbation is shown through a rigorous test suite that leverages data generated from real flight tests and the Dryden wind turbulence model.  ? 2022 IEEE.","Yes"
"2-s2.0-105011634765","10.1002/rnc.70108","2025","Article","27","International Journal of Robust and Nonlinear Control","S1,S4","15","Temporal/Generalization, Uncertainty","Recurrent Neural Network Based Sliding Mode Control for an Uncertain Tilting Quadrotor UAV","In this paper, a new recurrent neural network-based sliding mode control (RNN-based SMC) strategy for performing the desired position and attitude tracking control of an uncertain tilting quadrotor unmanned aerial vehicle (TQUAV) with various situations is proposed. The key research objective is to pursue the adaptive adjustment mechanism of the sliding mode manifold parameters, which are usually and directly used as constants in the existing literature. To achieve this objective, the constructed manifold parameters and the lumped disturbances are approximated by utilizing RNN, the corresponding approximation errors derived from RNN are estimated by employing an adaptive control method, and the compensatory controllers are further designed to guarantee the convergence of all position and attitude tracking errors. The RNN-based SMC strategy has the capabilities of adjusting the controller parameters in real-time, guaranteeing the controller continuity, also tracking the desired trajectories of uncertain TQUAV robustly and adaptively. Finally, the effectiveness of the RNN-based SMC strategy is fully verified through theory and comparative simulation results. ? 2025 John Wiley & Sons Ltd.","Yes"
"2-s2.0-85148537410","10.1016/j.jfranklin.2023.01.029","2023","Article","27","Journal of the Franklin Institute","S1,S4","15","Temporal/Generalization, Uncertainty","Trajectory tracking double two-loop adaptive neural network control for a Quadrotor","In this paper, the development and experimental validation of a novel double two-loop nonlinear controller based on adaptive neural networks for a quadrotor are presented. The proposed controller has a two-loop structure: an outer loop for position control and an inner loop for attitude control. Similarly, both position and orientation controllers also have a two-loop design with an adaptive neural network in each inner loop. The output weight matrices of the neural networks are updated online through adaptation laws obtained from a rigorous error convergence analysis. Thus, a training stage is unnecessary prior to the neural network implementation. Additionally, an integral action is included in the controller to cope with constant disturbances. The error convergence analysis guarantees the achievement of the trajectory tracking task and the boundedness of the output weight matrix estimation errors. The proposed scheme is designed such that an accurate knowledge of the quadrotor parameters is not needed. A comparison against the proposed controller and two other well-known schemes is presented. The obtained results showed the functionality of the proposed controller and demonstrated robustness to parametric uncertainty. ? 2023 The Franklin Institute","Yes"
"2-s2.0-85137339912","10.3390/drones6080206","2022","Article","24","Drones","S1,S4","15","Temporal/Generalization, Uncertainty","Adaptive Neural-Network-Based Nonsingular Fast Terminal Sliding Mode Control for a Quadrotor with Dynamic Uncertainty","This paper proposes an adaptive neural-network-based nonsingular fast terminal sliding mode (NN-NFTSMC) approach to address the trajectory tracking control problem of a quadrotor in the presence of model uncertainties and external disturbances. First, the dynamic model of the quadrotor with uncertainty is derived. Then, a control scheme using nonsingular fast terminal sliding mode control (NFTSMC) is proposed to guarantee the finite-time convergence of the quadrotor to its desired trajectory. NFTSMC is firstly formulated for the case that the upper bound of the lumped uncertainty is known in advance. Under this framework, a disturbance observer by using the hyperbolic tangent nonlinear tracking differentiator (TANH-NTD) is designed to estimate the external interference, and a neural network (NN) approximator is used to develop an online estimate of the model uncertainty. Subsequently, adaptive algorithms are designed to compensate the approximation error and update the NN weight matrix. An NN-NFTSMC algorithm is formulated to provide the system with robustness to the model uncertainty and external disturbance. Moreover, Lyapunov-based approach is employed to prove the global stability of the closed-loop system and the finite-time convergence of the trajectory tracking errors. The results of a comparative simulation study with other recent methods illustrate the proposed control method reduces the chattering effectively and has remarkable performance. ? 2022 by the authors.","Yes"
"2-s2.0-85123315802","10.1109/ACCESS.2022.3142388","2022","Article","18","IEEE Access","S1,S2,S3","15","Temporal/Generalization, Maneuver","Systematic Online Tuning of Multirotor UAVs for Accurate Trajectory Tracking under Wind Disturbances and In-Flight Dynamics Changes","The demand for accurate and fast trajectory tracking for multirotor Unmanned Aerial Vehicles (UAVs) have grown recently due to advances in UAV avionics technology and application domains. In many applications, the multirotor UAV is required to accurately perform aggressive maneuvers in challenging scenarios like the presence of external wind disturbances or in-flight payload changes. In this paper, we propose a systematic controller tuning approach based on identification results obtained by a recently developed Deep Neural Networks with the Modified Relay Feedback Test (DNN-MRFT) algorithm. We formulate a linear equivalent representation suitable for DNN-MRFT using feedback linearization. This representation enables the analytical investigation of different controller structures and tuning settings, and captures the non-linearity trends of the system. With this approach, the trade-off between performance and robustness in design was made possible which is convenient for the design of controllers of UAVs operating in uncertain environments. We demonstrate that our approach is adaptive and robust through a set of experiments, where accurate trajectory tracking is maintained despite significant changes to the UAV aerodynamic characteristics and the application of wind disturbance. Due to the model-based system design, it was possible to obtain low discrepancy between simulation and experimental results which is beneficial for potential use of the proposed approach for real-time model-based planning and fault detection tasks. We obtained RMSE of 3.59 cm when tracking aggressive trajectories in the presence of strong wind, which is on par with state-of-the-art. ? 2013 IEEE.","Yes"
"2-s2.0-85138039664","10.1007/s00521-022-07783-4","2023","Article","15","Neural Computing and Applications","S1,S4","15","Temporal/Generalization, Uncertainty","Physics-guided neural network and GPU-accelerated nonlinear model predictive control for quadcopter","This paper presents a physics-guided residual recurrent neural network (PGRRNN) and graphics processing unit (GPU)-accelerated model predictive control (MPC) framework to combat two specific challenges in artificial neural network (ANN)-based nonlinear MPC of high-rate dynamics systems, i.e., low control latency and insufficient model accuracy or generalization ability. Different from traditional ANN models, PGRRNN utilizes approximate physics-based (PB) models (with parameter uncertainty) as a backbone to impose physical constraints/guidance for future state prediction, and reconciles the difference between PB model approximation and data collected from actual systems by propagating their residuals through a multilayer recurrent neural network, hence improving its accuracy and generalization and alleviating data volume requirement. For computing acceleration, both PGRRNN and particle swarm optimization (PSO) are implemented on a GPU platform to make use of its massive parallel processing threads. Numerical experiments for MPC trajectory tracking of a quadcopter are used to examine accuracy and robustness of PGRRNN, and its performance is compared with other ANN models and approximate PB models. PGRRNN outperforms the other models in both ideal and realistic environments, exhibiting 2?3 times lower tracking error than the pure data-driven model. Furthermore, it is demonstrated that GPU-based PSO is able to synthesize control signals at a rate of greater than 50?Hz and can be a promising approach for ANN-based nonlinear MPC. ? 2022, The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature.","Yes"
"2-s2.0-85218640531","10.3390/drones9020142","2025","Article","10","Drones","S1,S2,S3","15","Temporal/Generalization, Maneuver","GRU-Based Deep Learning Framework for Real-Time, Accurate, and Scalable UAV Trajectory Prediction","Trajectory prediction is critical for ensuring the safety, reliability, and scalability of Unmanned Aerial Vehicle (UAV) in urban environments. Despite advances in deep learning, existing methods often struggle with dynamic UAV conditions, such as rapid directional changes and limited forecasting horizons, while lacking comprehensive real-time validation and generalization capabilities. This study addresses these challenges by proposing a gated recurrent unit (GRU)-based deep learning framework optimized through Look_Back and Forward_Length labeling to capture complex temporal patterns. The model demonstrated state-of-the-art performance, surpassing existing unmanned aerial vehicles (UAV) and aircraft trajectory prediction approaches, including FlightBERT++, in terms of both accuracy and robustness. It achieved reliable long-range predictions up to 4 s, and its real-time feasibility was validated due to its efficient resource utilization. The model?s generalization capability was confirmed through evaluations on two independent UAV datasets, where it consistently predicted unseen trajectories with high accuracy. These findings highlight the model?s ability to handle rapid maneuvers, extend prediction horizons, and generalize across platforms. This work establishes a robust trajectory prediction framework with practical applications in collision avoidance, mission planning, and anti-drone systems, paving the way for safer and more scalable UAV operations. ? 2025 by the authors.","Yes"
"2-s2.0-85201765009","10.1109/ACCESS.2024.3447474","2024","Article","10","IEEE Access","S1,S4","15","Temporal/Generalization, Uncertainty","Neuro-Fuzzy-Based Adaptive Sliding Mode Control of Quadrotor UAV in the Presence of Matched and Unmatched Uncertainties","Sliding Mode Control (SMC) is a popular nonlinear controller for quadrotor UAVs due to its robustness, fast response, and ability to handle complex dynamics. However, it suffers from chattering, sensitivity to modeling errors, and poor performance in the presence of unmatched uncertainties. In this paper, a novel Neuro-fuzzy adaptive sliding mode control is designed and proposed for the position and attitude control of quadrotor UAVs. The proposed method combines SMC with the learning capabilities of Artificial Neural Networks (ANN) and the decision-making abilities of Fuzzy Logic Control (FLC). Firstly, the quadrotor flight dynamics is derived using Newton's quaternion formalism. Secondly, conventional SMC is designed, and the system's stability is validated using Lyapunov stability analysis. Finally, the designed SMC equivalent control part is estimated online by ANN, while its switching control part is estimated by FLC. To verify the controller's performance, extensive software-in-the-loop simulations have been conducted in various scenarios. The results show that the proposed controller effectively tolerates matched and unmatched uncertainties and has better tracking and disturbance rejection capabilities with minimal control effort compared to fuzzy-based SMC and conventional SMC. Therefore, the suggested controller is very suitable for quadrotor UAV applications that require high tracking precision despite varying operating conditions.  ? 2013 IEEE.","Yes"
"2-s2.0-85194092162","10.1109/TITS.2024.3399913","2024","Article","8","IEEE Transactions on Intelligent Transportation Systems","S1,S2,S4","15","Temporal/Generalization, Uncertainty","Robust Trajectory and Resource Allocation for UAV Communications in Uncertain Environments With No-Fly Zone: A Deep Learning Approach","In this paper, we investigate robust trajectory design and resource allocation in unmanned aerial vehicle (UAV) enabled wireless networks to maximize the minimum average spectral efficiency (SE) among mobile nodes (MNs) on the ground while coping with uncertainties in trajectory. Our work specifically addresses practical challenges encountered during trajectory planning, namely: 1) the mobility of MNs, causing changes in their locations over time; 2) the positioning error of UAV, leading to deviations from its planned trajectory; and 3) the presence of no-fly zones (NFZs), which must be avoided during UAV flight. Taking these practical aspects into account, we propose a deep learning (DL) framework that integrates a deep neural network (DNN) structure with an unsupervised learning-based training methodology. The former enables efficient modeling of UAV trajectory and resource allocation, while the latter allows effective training of DNNs without labeled data. Through performance evaluations, we demonstrate that the proposed DL-based scheme outperforms the comparative baseline schemes in terms of the minimum average SE by optimizing trajectory and resource allocation with low computation time. Furthermore, we validate the robustness of our proposed scheme against the uncertainty associated with positioning errors.  ? 2000-2011 IEEE.","Yes"
